"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume"
"2014-09-15",137.57,138.06,136.89,137.97,2175305
"2014-09-16",137.32,139.55,136.95,139.33,2401196
"2014-09-17",140,141.57,138.62,140.71,3944490
"2014-09-18",140.9,142.16,139.95,142.02,2160429
"2014-09-19",142.99,144.46,142.29,144.01,6703386
"2014-09-22",143.29,144.02,141.09,142.18,3086856
"2014-09-23",141.84,142.4,140.57,140.68,2320925
"2014-09-24",140.75,142.48,140.02,142.24,3232186
"2014-09-25",142.08,143.03,139.4,139.85,2683678
"2014-09-26",140.01,141.19,138.93,141.06,2299897
"2014-09-29",139.96,141.5,139.33,140.07,2222410
"2014-09-30",140.31,141.58,139.02,140.46,2646822
"2014-10-01",140.39,140.78,138.18,138.82,3757591
"2014-10-02",138.98,139.77,136.32,137.2,3060874
"2014-10-03",138.07,139.71,137.9,139.15,3429021
"2014-10-06",138.07,140.55,136.98,137.61,3192622
"2014-10-07",137.14,137.54,135.98,136.03,2679781
"2014-10-08",135.61,140.38,135.42,140.07,3627597
"2014-10-09",139.57,140.19,137.02,137.58,2750605
"2014-10-10",136.78,140.74,136.78,137.39,5750533
"2014-10-13",137.05,137.81,133.52,133.56,6876224
"2014-10-14",135.38,135.43,131.93,132.2,3736406
"2014-10-15",131.02,131.37,128.6,130.9,4700100
"2014-10-16",128.15,130.88,127.67,130.45,7906044
"2014-10-17",131.25,139.85,129.5,133.69,7351493
"2014-10-20",133.28,137.55,133.01,137.51,6623760
"2014-10-21",138.49,145.49,137.01,144.09,8951767
"2014-10-22",143.81,144.41,141.67,143.64,5222581
"2014-10-23",145.9,148.14,145.24,147.25,4713937
"2014-10-24",146.85,147.5,145.52,147.26,5318413
"2014-10-27",146.7,148.47,146.11,148.2,4172467
"2014-10-28",151.75,157.25,151.47,157.19,11626291
"2014-10-29",157.91,159.72,156.91,158.88,7074414
"2014-10-30",158.64,161.58,158.16,161.58,3864487
"2014-10-31",164.56,164.65,161.42,162.18,7973043
"2014-11-03",162.08,162.41,159.65,161.56,5823845
"2014-11-04",160.69,161.99,159.17,160.41,3719005
"2014-11-05",161.31,161.31,158.81,158.94,4062881
"2014-11-06",159.97,160.94,159.47,160.35,3310943
"2014-11-07",162.07,162.25,158.32,160.25,3633346
"2014-11-10",161.01,163.2,160.5,163.09,3160895
"2014-11-11",163.08,163.86,161.52,162.42,3015732
"2014-11-12",161.77,163.08,161.04,161.93,3528893
"2014-11-13",162.11,162.35,159.58,160.85,3636942
"2014-11-14",161.1,161.28,156.62,157.68,4505723
"2014-11-17",156.91,160.2,156.66,159.14,2662429
"2014-11-18",158.91,162.39,158.37,162.24,3135567
"2014-11-19",161.28,163.28,160.37,162.64,2422850
"2014-11-20",161.91,164.83,161.75,162.68,3208896
"2014-11-21",165.58,165.58,161.43,162.81,3716962
"2014-11-24",163,165.68,162.94,164.18,2193251
"2014-11-25",164.06,164.41,160.7,162.24,3564899
"2014-11-26",162.75,164.84,162.47,164.72,2117983
"2014-11-28",165,167.34,164.52,165.31,1794842
"2014-12-01",165.12,167.37,164.17,166.41,2514247
"2014-12-02",167.6,169.33,166.8,169.28,3290152
"2014-12-03",169.28,169.49,166.5,168.07,2372115
"2014-12-04",167.54,168.76,166.45,166.55,3359866
"2014-12-05",166.68,169.41,166.11,169.24,2548656
"2014-12-08",169.39,173.14,169,171.64,3953730
"2014-12-09",170.32,170.91,167.44,169.39,3712333
"2014-12-10",169,169.75,165,165.39,3490159
"2014-12-11",166.7,169.64,165.6,166.08,3175216
"2014-12-12",163.14,167.71,162.3,164.53,3376207
"2014-12-15",164.77,164.99,159.4,159.6,4428254
"2014-12-16",157.68,163.96,157.5,159.44,4492752
"2014-12-17",159.46,164.01,158.6,163.48,3417914
"2014-12-18",166.1,168.59,164.58,168.48,3511800
"2014-12-19",168.91,171.73,167.4,170.17,7856281
"2014-12-22",168.31,169.04,163.91,164.53,4061505
"2014-12-23",164.91,164.99,154.36,157.52,7091683
"2014-12-24",156.53,163.17,156.47,160.67,2222853
"2014-12-26",162.16,164.15,161.85,163.46,1707472
"2014-12-29",163.83,164.05,161.52,162.85,1727639
"2014-12-30",162.69,162.73,160.18,160.63,2019805
"2014-12-31",161.67,163.28,159.26,159.29,2691888
"2015-01-02",160.16,162.59,158.6,159.89,2606798
"2015-01-05",157.43,159.6,154.26,157.99,4085487
"2015-01-06",158.78,158.88,152.33,152.9,5075771
"2015-01-07",154.09,158.58,153.01,158.24,3502412
"2015-01-08",159.6,162.76,155.15,157.67,4560248
"2015-01-09",158.76,158.76,154.63,155.73,3949092
"2015-01-12",156.22,157.99,154.99,156.22,2700746
"2015-01-13",158.89,160.96,153.41,155.14,4570440
"2015-01-14",152.87,155.54,152.57,155.16,3426427
"2015-01-15",156.15,157.74,151.53,151.92,2896036
"2015-01-16",152.43,158.44,152.03,158.43,3513169
