"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume"
"2011-09-15",33.72,34.22,32.96,33.69,1962705
"2011-09-22",27.05,28.38,25.58,27.81,6481691
"2011-09-29",28.6,28.82,26.05,26.65,5166470
"2011-10-06",26.12,27.62,25.91,27.39,6296858
"2011-10-13",28.29,28.53,27.5,28.06,2190196
"2011-10-20",26.88,27.45,26.1,27.39,3481847
"2011-10-27",32.89,34.08,32.52,33.59,5042753
"2011-11-03",34.04,34.64,33.03,34.46,4112382
"2011-11-10",34.52,35.12,33.65,35.07,5372338
"2011-11-17",34.79,35.22,34.75,35.19,8539625
"2011-12-01",32.45,32.67,32.11,32.41,3915389
"2011-12-08",32.58,33.19,32.24,32.62,3723092
"2011-12-15",31.15,31.2,30.51,30.8,3937048
"2011-12-22",32.9,33.49,32.64,32.89,2315482
"2011-12-29",32.38,32.92,32.2,32.81,711540
"2012-01-05",34.58,34.58,34,34.24,5574135
"2012-01-12",37.9,39.5,37.6,38.89,8047310
"2012-01-19",40.87,40.87,39.81,40,3913325
"2012-01-26",40.54,40.9,39.97,40.29,3192156
"2012-02-02",43.91,44,43.14,43.3,4489585
"2012-02-09",44.94,45.12,44.35,44.58,5835996
"2012-02-16",43.56,44.04,43.48,43.99,4664262
"2012-02-23",43.48,43.51,42.51,43.19,2724446
"2012-03-01",43.44,43.82,42.81,43.57,2051342
"2012-03-08",40.72,42.86,40.72,42.72,5819471
"2012-03-15",42.01,43.3,41.93,42.71,2602727
"2012-03-22",42.9,43.28,41.47,41.61,2537617
"2012-03-29",42,43.25,41.06,43.13,3827670
"2012-04-05",43.85,45.24,43.21,43.41,3754888
"2012-04-12",41.52,42.88,41.29,42.83,3618479
"2012-04-19",43.92,44.71,43.77,44.09,3038765
"2012-04-26",44.63,45.86,44,45.53,2352010
"2012-05-03",43.25,43.27,41.09,41.25,4471426
"2012-05-10",40.87,40.88,39.78,40.46,6688779
"2012-05-17",38.9,38.92,36.95,36.96,5529235
"2012-05-24",39.3,39.77,38.35,38.97,3206571
"2012-05-31",39.53,39.66,38.4,39.46,4628484
"2012-06-07",39.36,40.09,37.82,38,4350558
