"","KHC.Open","KHC.High","KHC.Low","KHC.Close","KHC.Volume"
"2015-07-09",76.47,77.07,74.5,74.8,4267057
"2015-07-16",76.97,78.84,76.95,78.75,5634050
"2015-07-23",78.42,78.57,76.64,76.74,2975649
"2015-07-30",78.21,79.69,77.6,79.21,3246987
"2015-08-06",81.05,81.19,79.51,79.76,3708640
"2015-08-13",77.01,77.07,75.8,75.99,2917485
"2015-08-20",74.02,74.76,73.78,74.25,2168032
"2015-08-27",73.17,75.25,73.12,75.18,5266725
"2015-09-03",72.56,73.89,71.79,72.16,2572325
"2015-09-10",72.13,73.05,71.78,72.16,3613783
"2015-09-17",76.58,77.76,76,76.43,2940344
"2015-09-24",73,73.14,71.7,72.92,4400596
"2015-10-01",71.27,71.97,69.77,70.83,2347357
"2015-10-08",73.16,74.47,72.74,74.43,2236730
"2015-10-15",74.15,75.22,73.92,75.22,2045284
"2015-10-22",77.22,79.94,77.22,79.94,3695989
"2015-10-29",78.84,79,77.85,78.65,1756680
"2015-11-05",76.2,76.5,74.75,75.42,3238635
"2015-11-12",71.18,71.38,70.25,70.9,3881357
"2015-11-19",73.25,73.73,72.34,73.34,2759753
"2015-12-03",73.3,73.68,71.09,71.46,3019136
"2015-12-10",70.83,71.34,70.51,70.84,2733737
"2015-12-17",72.95,73.3,71.9,71.92,2402721
"2015-12-24",74.81,74.81,73.88,73.96,1962511
"2015-12-31",73.37,73.5,72.63,72.76,1857050
"2016-01-07",72.01,72.99,71.85,71.9,4050321
"2016-01-14",70.96,71.53,70.3,70.74,4566353
"2016-01-21",72,73.33,71.33,73.05,6206613
"2016-01-28",76.27,76.99,75.48,76.16,3542387
"2016-02-04",75.04,75.2,72.92,74.15,7065145
"2016-02-11",70.9,71.96,70.17,71.44,3018163
"2016-02-18",74.08,74.29,73.34,73.45,2666854
"2016-02-25",73.41,74.98,73.33,74.96,4913084
"2016-03-03",77.3,77.55,76.46,77.37,3239854
"2016-03-10",76.98,77.15,75.55,76.22,2107224
"2016-03-17",77.58,78.1,76.74,78.01,4505965
"2016-03-24",76.77,77.27,75.86,76.46,3339009
"2016-03-31",78.95,78.95,78.28,78.56,3302188
"2016-04-07",78.02,78.29,77.02,77.5,3148160
"2016-04-14",77.4,77.82,76.89,77.17,3146948
"2016-04-21",77.79,77.92,76.64,76.74,2065206
"2016-04-28",78.55,79.23,78.09,78.36,1951120
"2016-05-05",82.96,84.17,82.5,82.97,8511592
"2016-05-12",85.48,86.66,85.15,86.34,2427478
"2016-05-19",80.85,83.02,80.61,83,3922753
"2016-05-26",84.02,84.82,83.76,83.81,2419201
"2016-06-02",83.88,84.79,83.55,84.78,2207230
"2016-06-09",84.92,85.73,84.78,85.62,2098598
"2016-06-16",84.68,85.32,83.98,85.28,2333360
"2016-06-23",85.94,86.39,85.42,86.37,2452214
"2016-06-30",86.39,88.63,86.17,88.48,5571245
"2016-07-07",89.57,89.82,88.81,89.31,2525580
"2016-07-14",89.14,89.25,87.86,88.34,3457827
"2016-07-21",88.1,88.19,87.33,87.64,2081113
"2016-07-28",85.68,86.21,85.24,85.96,2190301
"2016-08-04",85.13,85.64,84.68,85.54,3221770
"2016-08-11",89.71,90.43,89.29,89.44,2588811
"2016-08-18",89.3,89.86,89.1,89.76,1823007
"2016-08-25",88.99,89.94,88.69,88.9,1825891
"2016-09-01",89.57,89.71,88.54,89.48,2215474
"2016-09-08",89.7,89.79,88.71,89.19,2191620
"2016-09-15",87.36,89.26,87.32,89.17,1967612
